name,streetaddress,city,zipcode,county
"Columbia Public Schools - Blue Ridge Elementary","3700 Woodland Drive",Columbia,65202,"Boone "
"Columbia Public Schools - Center for Early Learning","2191 Smiley Lane",Columbia,65202,"Boone "
"Columbia Public Schools - Douglass High School","310 North Providence",Columbia,65203,"Boone "
"Columbia/Boone County Department of Public Health & Human Services","1005 West Worley Street",Columbia,65203,"Boone "
"Comfort Care Home Health Agency Inc.","1415 Walnut Street",Doniphan,63935,"Ripley "
CommCARE,"1627 Main Street","Kansas City",64141,"Jackson "
"Community Action Agency of Greater Kansas City","6323 Manchester Avenue","Kansas City",64133,"Jackson "
"Community Action Agency of Greater Kansas City - Prospect","6025 Prospect Avenue","Kansas City",64130,"Jackson "
"Community Action Agency of St. Louis County","2709 Woodson Road","St. Louis",63114,"St. Louis "
"Community Action Partnership of Greater St. Joseph","817 Monterey Street","St. Joseph",64503,"Buchanan "
"Community Asset Builders LLC","2412-B Hyde Park Road","Jefferson City",65109,"Cole "
"Community Caring Council","2000 Perryville Road","Cape Girardeau",63701,"Cape Girardeau "
"Community Counseling Center - Cape Girardeau","402 South Silver Springs Road","Cape Girardeau",63703,"Cape Girardeau "
"Community Counseling Center Perryville","406 North Spring Street Suite 2",Perryville,63775,"Perry "
"Community Health Center of Central Missouri","1511 Christy Drive","Jefferson City",65101,"Cole "
"Community Health Center of Central Missouri - California","104 North Gerhart Road ",California,65018,"Moniteau "
"Community Health Center of Central Missouri - Fulton","561 Commons Drive",Fulton,65251,"Callaway "
"Community Health Center of Central Missouri - Jefferson City","1511 Christy Drive","Jefferson City",65110,"Cole "
"Community Health Center of Central Missouri - Linn","1016 East Main Street",Linn,65051,"Osage "
"Community Health Center of Central Missouri- Stadium Clinic","1905 Stadium","Jefferson City",65110,"Cole "
"Community Hospital Fairfax","26136 US Highway 59",Fairfax,64446,"Atchison "
"Community Hospital Fairfax - Family Medicine Clinic","100 East Cass Street","Rock Port",64482,"Atchison "
"Community Network for Behavioral Healthcare Inc.","1647 Main Street Suite 1100","Kansas City",64108,"Jackson "
"Community Options","801B Washington Street",Chillicothe,64601,"Livingston "
"Community Organizations Active in Disaster","7150 Ivon Ho Drive",Hillsboro,63050,"Jefferson "
"Community Outreach","421 SEMO Drive","New Madrid",63869,"New Madrid "
"Community Partnership of the Ozarks","330 North Jefferson Avenue",Springfield,65806,"Greene "
"Community R-VI School District","35063 Highway BB",Laddonia,63352,"Audrain "
"Community Services Inc.","1212 B South Main",Maryville,64468,"Nodaway "
"CoMo Cubs Pediatrics","201 West Broadway Suite 2G",Columbia,65203,"Boone "
Comp1,"5471 Dr. Martin Luther King Drive","St. Louis",63112,"St. Louis city "
"Compass Health - Butler Dental Clinic","205 E. Dakota",Butler,64730,"Bates "
"Compass Health - Butler Medical and Behavioral Health","805 N. Orange Street",Butler,64730,"Bates "
"Compass Health - El Dorado Springs (Behavioral Health & Dental)","107 W. Broadway Street","El Dorado",64744,"Cedar "
"Compass Health - Jefferson City Children's Center","1905 Stadium","Jefferson City",65109,"Cole "
"Compass Health - Nevada","320 North Mac Boulevard",Nevada,64772,"Vernon "
"Compass Health - St. Peters Express Care","8075 Mexico Road","St. Peters",63376,"St. Charles "
"Compass Health - Sullivan","101 Progress Drive",Sullivan,63080,"Franklin "
"Compass Health Network - Berrywood","3501 Berrywood Drive ",Columbia,65202,"Boone "
"Compass Health Network - Clinton","1800 Community Drive",Clinton,64735,"Henry "
"Compass Health Network - Clinton Annex","100 North 2nd Street",Clinton,64735,"Henry "
"Compass Health Network - Cuba","1200 Martin Street Unit 2",Cuba,65453,"Crawford "
"Compass Health Network - El Dorado Springs","1301 Industrial Parkway East","El Dorado Springs",64744,"Cedar "
"Compass Health Network - Harrisonville","300 Galaxy Avenue",Harrisonville,64701,"Cass "
"Compass Health Network - Lebanon","860 Lynn Street",Lebanon,65536,"Laclede "
"Compass Health Network - Nifong","1000 West Nifong Boulevard Bldg. 6 Suite 220B",Columbia,65203,"Boone "
"Compass Health Network - Odessa","1278 West U.S. Highway 40",Odessa,64076,"Lafayette "
"Compass Health Network - Osceola","101 Hospital Drive",Osceola,64776,"St. Clair "
"Compass Health Network - Rolla","1450 East Tenth Street",Rolla,65401,"Phelps "
"Compass Health Network - Salem","913 South Pershing Avenue",Salem,65560,"Dent "
"Compass Health Network - St. Peters","111 Mexico Road","St. Peters ",63376,"St. Charles "
"Compass Health Network - Union","1780 Old Hwy 50 East",Union,63084,"Franklin "
"Compass Health Network - Warrensburg","616 Burkarth Road",Warrensburg,64093,"Johnson "
"Compass Health Network - Warrenton","19515 Brune Parkway",Warrenton,63383,"Warren "
"Compass Health Network - Warsaw","17571 North Dam Access Road",Warsaw,65355,"Benton "
"Compass Health Network - Wentzville","1032 Crosswinds Court",Wentzville,63385,"St. Charles "
"Compass Health/Crider Health Center (Behavioral Health Dental & Primary Care)","1032 Crosswinds Court",Wentzville,63385,"St. Charles "
"Compass Health/Crider Health Center (Behavioral Health Dental & Primary Care)","19515 Brune Parkway",Warrenton,63383,"Warren "
"Compass Health/Crider Health Center (Behavioral Health)","1780 Old Hwy. 50 East",Union,63084,"Franklin "
"Compass Health/Crider Health Center (Dental Services)","1780 Old Hwy. 50 East",Union,63084,"Franklin "
"Compass Health/Crider Health Center (Dental Services)","102 Compass Point Drive","St. Charles",63301,"St. Charles "
"Compass Health/Crider Health Center (Primary Care)","1780 Old Hwy. 50 East",Union,63084,"Franklin "
"Complete Healthcare Solutions","504 North Cleveland",Fayette,65248,"Howard "
"Comprehensive Mental Health Services","17886 East 23rd Street",Independence,64057,"Jackson "
"COMTREA Comprehensive Health Center Dunklin","200 Senn Thomas Drive","Herculaneum ",63048,"Jefferson "
"Comtrea Inc. - Arnold","21 Municipal Drive",Arnold,63010,"Jefferson "
"Comtrea Inc. - Comprehensive Health Center at the Valley","4300 Gravois Road","House Springs",63051,"Jefferson "
"Comtrea Inc. - Festus","227 East Main Street",Festus,63028,"Jefferson "
"Comtrea Inc. - Fox Dental Comprehensive Health Center","849 Jeffco Boulevard",Arnold,63010,"Jefferson "
"Comtrea Inc. - High Ridge","1817 Gravois Road","High Ridge",63049,"Jefferson "
"Comtrea Inc. - High Ridge Family Medical Center","324 Emerson Road","High Ridge",63049,"Jefferson "
"Comtrea Inc. - Hillsboro","4 Hickory Ridge Road",Hillsboro,63050,"Jefferson "
"Comtrea Inc. - House Springs","7214 Executive Parkway","House Springs",63051,"Jefferson "
"Comtrea Inc. - Treatment Court","351 Main Street",Hillsboro,63050,"Jefferson "
"COMTREA Twin City Dental Center","112 South 2nd Street",Festus,63028,"Jefferson "
"COMTREA Welcome Center","2310 North Truman Blvd.","Crystal City ",63019,"Jefferson "
"Confluence Academy - Old North","3017 North 13th Street","St. Louis",63017,"St. Louis "
"Confluence Academy - South City","3112 Meramec Street","St. Louis",63118,"St. Louis "
"Confluence Preparatory Academy","310 North 15th Street","St. Louis",63103,"St. Louis "
"Connections Case Management","1727 West 26th Street",Joplin,64804,"Jasper "
"Consultants in Gastroenterology (CIG)","2521 Glen Hendren Drive",Liberty,64068,"Clay "
"Cooper County Board of Sheltered Services","1620 West Ashley Road Suite 1",Boonville,65233,"Cooper "
"Cooper County R-IV School District","500 East Main",Bunceton,65237,"Cooper "
"Cooter School District","1867 State Highway E",Cooter,63839,"Pemiscot "
"Cor Jesu Academy","10230 Gravois Road","St. Louis",63123,"St. Louis "
"Cornerstone of Care","3100 NE 83rd Ste 1401","Kansas City",64119,"Clay "
"Cornerstone Psychological Services","1721 West Elfindale",Springfield,65807,"Greene "
"Cosmopolitan International Diabetes & Endocrinology Center","One Hospital Drive",Columbia,65212,"Boone "
"Couch R-I School District","22206 Highway 142",Myrtle,65778,"Oregon "
"Country Family Medicine","17600 Endicott Road",Kearney,64060,"Clay "
"Cox Barton County Hospital","29 Northwest 1st Lane",Lamar,64759,"Barton "
"Cox College","525 State Road K","Long Lane",65590,"Dallas "
"Cox College - Springfield","1423 North Jefferson",Springfield,65802,"Greene "
"Cox Family Medicine Residency Program","1423 North Jefferson Avenue Suite B100",Springfield,65802,"Greene "
"Cox Monett Rehab ","700 E Cleveland Street","Monett ",65708,"Barry "
CoxHealth,"2900 South National Avenue Lower Level",Springfield,65804,"Greene "
"CoxHealth - Bone & Joint Center","3555 South National Avenue ",Springfield,65807,"Greene "
"CoxHealth - Branson West","18452 Missouri Business 13","Branson West",65737,"Stone "
"CoxHealth - Buffalo","119 North Ash",Buffalo,65622,"Dallas "
"CoxHealth - C.A.R.E. Mobile","3525 South National Avenue #105",Springfield,65807,"Greene "
"CoxHealth - Campbell","2750 South Campbell Avenue",Springfield,65807,"Greene "
"CoxHealth - Center for Addictions","1423 North Jefferson Avenue",Springfield,65802,"Greene "
"CoxHealth - Center for Health Improvement","960 East Walnut Lawn Street Suite 203",Springfield,65807,"Greene "
"CoxHealth - Diabetes & Endocrinology","960 East Walnut Lawn",Springfield,65807,"Greene "
"CoxHealth - Family Medical Care Center","1423 North Jefferson Avenue #B100",Springfield,65802,"Greene "
"CoxHealth - Family Medicine Residency Program","1423 North Jefferson Avenue - Suite 100-B",Springfield,65802,"Greene "
"CoxHealth - Family Practice & Obstetrics of Monett","815 North Lincoln Avenue",Monett,65708,"Barry "
"CoxHealth - Ferrell-Duncan Clinic","1001 East Primrose Street",Springfield,65807,"Greene "
"CoxHealth - Infectious Diseases Specialty Clinic","3800 South National Avenue Suite LL100",Springfield,65807,"Greene "
"CoxHealth - Jefferson","1423 North Jefferson Avenue",Springfield,65802,"Greene "
"CoxHealth - Lebanon","510 East Highway 32",Lebanon,65536,"Laclede "
"CoxHealth - Medical Group","1925 West Chesterfield Boulevard",Springfield,65807,"Greene "
"CoxHealth - Medical Mile Clinic","2900 South National Avenue",Springfield,65804,"Greene "
"CoxHealth - Monett","801 North Lincoln Avenue",Monett,65708,"Lawrence "
"CoxHealth - Mountain Grove","1602A North Main Street","Mountain Grove",65711,"Wright "
"CoxHealth - National","3801 South National Avenue",Springfield,65807,"Greene "
"CoxHealth - Northside Pediatrics & Adolescents","1443 North Robberson #200",Springfield,65804,"Greene "
"CoxHealth - Occupational Medicine","1499 North Robberson Avenue",Springfield,65802,"Greene "
"CoxHealth - Ozark","5548 North Farmer Branch Road",Ozark,65721,"Christian "
"CoxHealth - Panther Clinic","900 North Benton",Springfield,65802,"Greene "
"CoxHealth - Pediatric Center","3443 South National",Springfield,65807,"Greene "
"CoxHealth - Population Health","1443 North Robberson Suite 301",Springfield,65802,"Greene "
"CoxHealth - Psychological Services","3800 South National #770",Springfield,65804,"Greene "
"CoxHealth - Republic","820 South Illinois Avenue",Republic,65738,"Greene "
"CoxHealth - Senior Health Center","3525 South National Avenue Suite 207",Springfield,65807,"Greene "
"CoxHealth - Skin Care Clinic","1925 West Chesterfield Boulevard",Springfield,65807,"Greene "
"CoxHealth - Steeplechase Family Physicians","1530 East Republic Road",Springfield,65804,"Greene "
"CoxHealth - The Turner Center","1000 East Primrose Street",Springfield,65804,"Greene "
"CoxHealth - Walk-in Clinic","3805 South Kansas Expressway Suite B",Springfield,65807,"Greene "
"CoxHealth Basic Care","1425 North Jefferson Avenue",Springfield,65804,"Greene "
"CoxHealth Family Medicine - Branson","545 Branson Landing Boulevard Suite 408",Branson,65616,"Taney "
"CoxHealth Heart Center","1150 State Highway 248",Branson,65616,"Taney "
"CoxHealth Medical Center - Branson","525 Branson Landing Boulevard Suite 508",Branson,65616,"Taney "
"CoxHealth Network","3354 South National Avenue",Springfield,65807,"Greene "
"CoxHealth Outpatient Clinic - Branson","545 Branson Landing Boulevard",Branson,65616,"Taney "
"CoxHealth Ozark Pediatrics","1741 South 15th Street",Ozark,65721,"Christian "
"CoxHealth South","3800 South National Avenue",Springfield,65807,"Greene "
"CoxHealth Wound Care & Hyperbaric Medicine - Branson","101 Skaggs Road Suite 103",Branson,65616,"Taney "
"Crawford County R-I School District","1500 Old Highway 66",Bourbon,65441,"Crawford "
"Crawford County R-II School District","#1 Wildcate Pride Drive",Cuba,65453,"Crawford "
"Crest Ridge R-VII School District","92 Northwest 58 Highway",Centerview,64019,"Johnson "
"Crider Health Center - Warrenton","19515 Brune Parkway",Warrenton,63385,"Warren "
"Crider Health Center - Wentzville","1032 Crosswinds Court",Wentzville,63385,"St. Charles "
"Crittenton Children's Center","10918 Elm Avenue","Kansas City",64157,"Jackson "
"Crockerell-McIntosh Pediatrics","205 NW R.D. Mize Road Suite 304","Blue Springs",64014,"Jackson "
"Cross Trails Dental Center","1314 Brenda Ave",Perryville,63775,"Perry "
"Cross Trails Dental Clinic","109 Highway 51 North","Marble Hill",63764,"Bollinger "
"Cross Trails Dental Clinic","408 S. Broadview Street","Cape Girardeau",63703,"Cape Girardeau "
"Cross Trails Dental Clinic","307 Gabriel",Advance,63730,"Stoddard "
"Cross Trails Medical Center","109 Highway 51 North","Marble Hill",63764,"Bollinger "
"Cross Trails Medical Center","408 South Broadview Street","Cape Girardeau",63703,"Cape Girardeau "
"Cross Trails Medical Center","307 Gabriel",Advance,63730,"Stoddard "
"Cross Trails Medical Clinic","408 S. Broadview Street","Cape Girardeau",63703,"Cape Girardeau "
"Cross Trails Medical Clinic","1314 Brenda Ave",Perryville,63775,"Perry "
"Crossroads Charter Schools","1011 Central Street","Kansas City",64105,"Jackson "
"Crossroads Charter Schools - High School","816 Broadway Boulevard","Kansas City",64105,"Jackson "
"Crossroads Hospice","14310 East 42nd Street South",Independence,64055,"Jackson "
"Crossroads Hospice and Palliative Care","15450 South Outer Forty Drive",Chesterfield,63017,"St. Louis "
"Crystal City 47 Public School","1100 Mississippi Avenue","Crystal City",63019,"Jefferson "
"CSA Surgical Center","3220 Bluff Creek Drive Suite 104",Columbia,65201,"Boone "
"Cultivate Resilience","206 West Red Bridge Road","Kansas City",64114,"Jackson "
"Culver-Stockton College","One College Hill",Canton,63435,"Lewis "
"Cynergy Health","1100 Club Village Drive",Columbia,65203,"Boone "
"D&N Services Unlimited ","5843 Eagle Valley Drive","St. Louis",63136,"St. Louis "
"Dade County Health Department","413 West Water Street",Greenfield,65661,"Dade "
"Dallas County R-I School District","1323 South Ash",Buffalo,65622,"Dallas "
"Danforth Intermediate Academy","1134 Saint Cyr Road","St. Louis",63137,"St. Louis "
"David M. Reisler MD","703 Wayfield Drive",Olivette,63132,"St. Louis "
"Daviess County Health Department","609A South Main Street",Gallatin,64640,"Daviess "
DaVita,"19101 East Valleyview Parkway Suite E",Independence,64056,"Jackson "
"DBSA St. Louis Empowerment Center","1908 Olive Street","St. Louis",63103,"St. Louis city "
"De La Salle Education Center","3737 Troost Avenue","Kansas City",64109,"Jackson "
"Debra F. Fink Orthodontics","13302 Manchester Road","St. Louis",63131,"St. Louis "
"Delmar Gardens Home Care Inc.","14805 North Outer 40 Road Suite 320",Chesterfield,63017,"St. Louis "
"Delta Area Economic Opportunity Corporation","99 Skyview Road",Portageville,63873,"New Madrid "
"Delta Area Economic Opportunity Corportation","99 Skyview Road",Portageville,63873,"New Madrid "
